Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:59,05:59,05:59,05:21,05:50,05:21,06:46,05:21,blank,07:16,07:16,blank,blank,blank,blank,blank,blank
07:20,08:36,07:20,06:46,05:59,05:50,07:20,05:50,blank,07:30,07:30,blank,blank,blank,blank,blank,blank
08:36,09:30,10:40,08:06,06:46,05:59,11:06,05:59,blank,07:42,07:42,blank,blank,blank,blank,blank,blank
09:30,15:01,12:46,11:06,07:20,06:46,12:46,06:46,blank,08:30,08:30,blank,blank,blank,blank,blank,blank
10:40,17:11,15:01,12:46,08:36,07:20,16:50,07:20,blank,08:41,08:41,blank,blank,blank,blank,blank,blank
11:06,19:25,16:36,13:31,09:15,08:06,19:05,08:06,blank,10:02,09:28,blank,blank,blank,blank,blank,blank
12:46,23:06,17:11,16:36,10:40,08:36,19:50,08:36,blank,10:17,10:02,blank,blank,blank,blank,blank,blank
13:31,blank,18:10,17:11,10:51,09:15,blank,09:15,blank,11:06,10:17,blank,blank,blank,blank,blank,blank
15:01,blank,21:06,17:20,13:05,09:30,blank,09:30,blank,11:49,11:06,blank,blank,blank,blank,blank,blank
16:36,blank,blank,17:56,14:50,10:40,blank,10:40,blank,12:07,11:49,blank,blank,blank,blank,blank,blank
16:36,blank,blank,17:56,14:50,10:40,blank,10:40,blank,12:07,11:49,blank,blank,blank,blank,blank,blank
17:11,blank,blank,18:10,15:01,10:51,blank,10:51,blank,12:51,12:07,blank,blank,blank,blank,blank,blank
18:10,blank,blank,20:41,16:36,11:06,blank,11:06,blank,13:07,12:51,blank,blank,blank,blank,blank,blank
19:25,blank,blank,21:16,16:50,12:46,blank,12:46,blank,14:07,13:07,blank,blank,blank,blank,blank,blank
21:06,blank,blank,22:55,18:10,13:05,blank,13:05,blank,15:37,14:07,blank,blank,blank,blank,blank,blank
23:06,blank,blank,blank,19:05,13:31,blank,13:31,blank,16:37,14:18,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,19:25,14:50,blank,14:50,blank,19:32,15:01,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,21:06,15:01,blank,15:01,blank,19:55,15:17,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,22:55,15:16,blank,15:16,blank,20:38,15:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,23:06,16:36,blank,16:36,blank,23:36,16:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,23:06,16:36,blank,16:36,blank,23:36,16:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:50,blank,16:50,blank,blank,17:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:11,blank,17:11,blank,blank,18:06,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:20,blank,17:20,blank,blank,18:16,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:56,blank,17:56,blank,blank,19:02,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:10,blank,18:10,blank,blank,19:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:22,blank,18:22,blank,blank,19:55,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:05,blank,19:05,blank,blank,20:38,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:25,blank,19:25,blank,blank,20:50,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:50,blank,19:50,blank,blank,21:31,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:50,blank,19:50,blank,blank,21:31,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:41,blank,20:41,blank,blank,21:46,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:06,blank,21:06,blank,blank,22:43,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:16,blank,21:16,blank,blank,23:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:06,blank,22:06,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:55,blank,22:55,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,23:06,blank,23:06,blank,blank,blank,blank,blank,blank,blank,blank,blank
